Flight Distance,Outliers (Qurtile function),Outliers (Use Mean & Standard Deviation),,1. Mean of Column Data,,
3329,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
3487,TRUE,TRUE,,,,
1599,TRUE,TRUE,,,,
3341,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
2933,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
3656,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
2514,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
3025,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
3211,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
3433,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
3283,TRUE,TRUE,,,,
84,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
1892,TRUE,TRUE,,,,
1689,TRUE,TRUE,,,,
3496,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
1718,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
3302,TRUE,TRUE,,,,
3059,TRUE,TRUE,,,,
3428,TRUE,TRUE,,,,
2591,TRUE,TRUE,,,,
3771,TRUE,TRUE,,,,
3062,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
121,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
3467,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
2996,TRUE,TRUE,,,,
2276,TRUE,TRUE,,,,
3950,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
2595,TRUE,TRUE,,,,
1582,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
2353,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
2172,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
3753,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
1617,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
3483,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
3640,TRUE,TRUE,,,,
3153,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
3041,TRUE,TRUE,,,,
3844,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
1700,TRUE,TRUE,,,,
2190,TRUE,TRUE,,,,
2209,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
1932,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
2256,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
2340,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
1796,TRUE,TRUE,,,,
2481,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
2591,TRUE,TRUE,,,,
2517,TRUE,TRUE,,,,
1940,TRUE,TRUE,,,,
84,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
2193,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
2005,TRUE,TRUE,,,,
3280,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
84,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
3101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
3600,TRUE,TRUE,,,,
3133,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
2362,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
2133,TRUE,TRUE,,,,
2236,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
2115,TRUE,TRUE,,,,
2408,TRUE,TRUE,,,,
1666,TRUE,TRUE,,,,
3961,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
1710,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
2808,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
3223,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
3131,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
3499,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
2701,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
1888,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
2172,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
3235,TRUE,TRUE,,,,
2135,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
2811,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
1923,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
3973,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
3062,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
84,TRUE,TRUE,,,,
3878,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
3242,TRUE,TRUE,,,,
3148,TRUE,TRUE,,,,
1986,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
3707,TRUE,TRUE,,,,
3544,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
3608,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
2012,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
2850,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
2737,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
2197,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
3664,TRUE,TRUE,,,,
2771,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
1854,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
2535,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
2826,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
121,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
121,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
84,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
121,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
84,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
121,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
84,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
84,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
84,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
121,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
121,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
84,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
201,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
216,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
163,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
121,TRUE,TRUE,,,,
102,TRUE,TRUE,,,,
101,TRUE,TRUE,,,,
2409,TRUE,TRUE,,,,
1407,TRUE,TRUE,,,,
2556,TRUE,TRUE,,,,
2355,TRUE,TRUE,,,,
2614,TRUE,TRUE,,,,
2349,TRUE,TRUE,,,,
2556,TRUE,TRUE,,,,
2556,TRUE,TRUE,,,,
1028,TRUE,TRUE,,,,
2556,TRUE,TRUE,,,,
2409,TRUE,TRUE,,,,
2409,TRUE,TRUE,,,,
2556,TRUE,TRUE,,,,
2462,TRUE,TRUE,,,,
2399,TRUE,TRUE,,,,
2399,TRUE,TRUE,,,,
1119,TRUE,TRUE,,,,
2355,TRUE,TRUE,,,,
1410,TRUE,TRUE,,,,
1232,TRUE,TRUE,,,,
2556,TRUE,TRUE,,,,
2556,TRUE,TRUE,,,,
1358,TRUE,TRUE,,,,
2355,TRUE,TRUE,,,,
